option_id,option_name,option_value,autoload
379,jetpack_options,"a:1:{s:14:""last_heartbeat"";i:1715200582;}",yes
381,_transient_wc_count_comments,"O:8:""stdClass"":7:{s:14:""total_comments"";i:1;s:3:""all"";i:1;s:8:""approved"";s:1:""1"";s:9:""moderated"";i:0;s:4:""spam"";i:0;s:5:""trash"";i:0;s:12:""post-trashed"";i:0;}",yes
393,_transient_woocommerce_reports-transient-version,1714387335,yes
400,woocommerce_task_list_tracked_completed_tasks,"a:3:{i:0;s:17:""launch_your_store"";i:1;s:8:""shipping"";i:2;s:8:""products"";}",yes
401,wc_has_tracked_default_theme,1,yes
402,woocommerce_onboarding_profile,"a:9:{s:15:""business_choice"";s:28:""im_just_starting_my_business"";s:21:""selling_online_answer"";N;s:17:""selling_platforms"";N;s:20:""is_store_country_set"";b:1;s:8:""industry"";a:1:{i:0;s:24:""clothing_and_accessories"";}s:18:""is_agree_marketing"";b:0;s:11:""store_email"";s:22:""Cessan__94@hotmail.com"";s:9:""completed"";b:1;s:19:""business_extensions"";a:2:{i:0;s:20:""woocommerce-payments"";i:1;s:20:""woocommerce-services"";}}",yes
405,action_scheduler_migration_status,complete,yes
410,jetpack_sync_settings_disable,0,yes
415,widget_currency_switcher_widget,"a:1:{s:12:""_multiwidget"";i:1;}",yes
416,woocommerce_woocommerce_payments_settings,"a:19:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";s:17:""platform_checkout"";s:2:""no"";s:35:""payment_request_button_branded_type"";s:0:"""";}",yes
417,woocommerce_woocommerce_payments_bancontact_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
418,woocommerce_woocommerce_payments_sepa_debit_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
419,woocommerce_woocommerce_payments_giropay_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
420,woocommerce_woocommerce_payments_sofort_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
421,woocommerce_woocommerce_payments_p24_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
422,woocommerce_woocommerce_payments_ideal_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
423,woocommerce_woocommerce_payments_au_becs_debit_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
424,woocommerce_woocommerce_payments_eps_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
425,woocommerce_woocommerce_payments_link_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
426,woocommerce_woocommerce_payments_affirm_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
427,woocommerce_woocommerce_payments_afterpay_clearpay_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
428,woocommerce_woocommerce_payments_klarna_settings,"a:17:{s:7:""enabled"";s:2:""no"";s:28:""account_statement_descriptor"";s:0:"""";s:14:""manual_capture"";s:2:""no"";s:11:""saved_cards"";s:3:""yes"";s:9:""test_mode"";s:2:""no"";s:14:""enable_logging"";s:2:""no"";s:23:""payment_request_details"";s:0:"""";s:15:""payment_request"";s:3:""yes"";s:27:""payment_request_button_type"";s:3:""buy"";s:28:""payment_request_button_theme"";s:4:""dark"";s:29:""payment_request_button_height"";s:2:""44"";s:28:""payment_request_button_label"";s:7:""Buy now"";s:32:""payment_request_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:30:""upe_enabled_payment_method_ids"";a:1:{i:0;s:4:""card"";}s:27:""payment_request_button_size"";s:6:""medium"";s:34:""platform_checkout_button_locations"";a:3:{i:0;s:7:""product"";i:1;s:4:""cart"";i:2;s:8:""checkout"";}s:32:""platform_checkout_custom_message"";s:84:""By placing this order, you agree to our [terms] and understand our [privacy_policy]."";}",yes
429,wcpay_activation_timestamp,1714387369,yes
430,woocommerce_woocommerce_payments_version,7.5.3,yes
431,wcpay_multi_currency_store_currency,SEK,yes
433,_wcpay_feature_woopay_first_party_auth,1,yes
434,woopay_enabled_adapted_extensions,a:0:{},yes
435,wcpay_connect_incentive,"a:3:{s:4:""data"";a:3:{s:9:""incentive"";a:0:{}s:3:""ttl"";i:86400;s:12:""context_hash"";s:32:""b234a89fc7ffe8800ef731c874f55ef1"";}s:7:""fetched"";i:1715201205;s:7:""errored"";b:0;}",no
436,_transient_timeout_woocommerce_admin_payment_gateway_suggestions_specs,1715805379,no
